t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
310.0,8,34,0,32,252198,496000,1.0,0.5084637096774194
320.0,8,24,0,42,279341,496000,0.875,0.5631875
330.0,8,27,0,30,262465,496000,1.0,0.5291633064516129
340.0,8,28,0,26,270155,496000,1.0,0.5446673387096774
350.0,8,20,0,31,257944,496000,1.0,0.5200483870967741
360.0,8,17,0,29,253861,496000,0.875,0.5118165322580646
370.0,8,17,0,22,199307,496000,0.875,0.4018286290322581
380.0,8,14,0,20,177239,496000,0.75,0.3573366935483871
390.0,8,16,0,18,162456,496000,0.875,0.32753225806451614
400.0,8,14,0,12,113044,496000,0.875,0.22791129032258065
410.0,8,18,0,6,110451,496000,0.875,0.22268346774193548
420.0,8,12,0,8,91985,496000,0.875,0.18545362903225807
430.0,8,12,0,6,67369,496000,1.0,0.13582459677419356
440.0,8,9,0,8,67253,496000,0.875,0.13559072580645162
450.0,8,7,0,8,59972,496000,0.625,0.12091129032258065
460.0,8,6,0,6,49953,496000,0.5,0.10071169354838709
470.0,8,3,0,8,46588,496000,0.375,0.09392741935483871
480.0,8,5,0,6,49072,496000,0.625,0.09893548387096775
490.0,8,5,0,5,48590,496000,0.625,0.09796370967741935
500.0,8,2,0,5,17002,496000,0.25,0.034278225806451616
510.0,8,1,0,5,15153,496000,0.125,0.03055040322580645
520.0,8,7,0,1,25201,496000,0.75,0.05080846774193548
530.0,8,2,0,5,15183,496000,0.25,0.030610887096774193
540.0,8,2,0,5,15555,496000,0.25,0.0313608870967742
550.0,8,1,0,4,16192,496000,0.125,0.03264516129032258
560.0,8,6,0,3,25919,496000,0.625,0.05225604838709678
570.0,8,13,0,6,54921,496000,0.875,0.11072782258064516
580.0,8,31,0,16,141508,496000,1.0,0.2852983870967742
590.0,8,39,0,25,187047,496000,1.0,0.3771108870967742
600.0,8,26,0,38,199607,496000,1.0,0.4024334677419355
610.0,8,38,0,36,233069,496000,1.0,0.46989717741935483
620.0,8,46,0,44,290881,496000,1.0,0.5864536290322581
630.0,8,49,0,55,332414,496000,1.0,0.6701895161290322
640.0,8,60,0,46,362235,496000,1.0,0.7303125
650.0,8,47,0,59,368464,496000,1.0,0.7428709677419355
660.0,8,56,0,45,359260,496000,1.0,0.7243145161290323
670.0,8,46,0,49,380214,496000,1.0,0.7665604838709678
680.0,8,54,0,42,353209,496000,1.0,0.7121149193548387
690.0,8,43,0,39,327127,496000,1.0,0.6595302419354838
700.0,8,33,0,38,296185,496000,1.0,0.5971471774193549
710.0,8,34,0,29,260708,496000,0.875,0.5256209677419355
