policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,static_ref_n,static_ref_gpu_s,gpu_vs_static,meets_slo
static-6,1,0.0,7491,6612,32.0,135.44500000000016,3.1402097942867173,0.9599019183614597,12600.0,0,15282456,0.0,611,611,0,0,0,6.0,6,102,0.9853949329359165,6,12600.0,1.0,True
hpa-gpu,1,0.0,7491,6552,146.0,402.5,23.801398161277564,0.8974010069397197,12615.0,0,15163009,0.0,1164,511,653,35,20,6.007142857142857,16,162,0.9764530551415798,6,12600.0,1.0011904761904762,False
keda-queue,1,0.0,7491,6658,10.5,105.0,2.9592840567113057,0.9855072463768116,128700.0,0,15282456,0.0,135,107,28,6,2,61.285714285714285,64,56,0.9922503725782414,6,12600.0,10.214285714285714,True
kv-util,1,0.0,7491,4902,497.0,708.9849999999997,9.855406753857219,0.6563643757625051,6360.0,0,11818621,0.0,793,583,210,25,12,3.0285714285714285,6,1812,0.7305514157973174,6,12600.0,0.5047619047619047,False
predictive,1,0.0,7491,5971,155.0,396.6500000000001,19.010801783556364,0.7173066221480244,6585.0,0,14702571,0.0,2211,526,1685,95,46,3.1357142857142857,36,743,0.889865871833085,6,12600.0,0.5226190476190476,False
rl-qlearn,1,0.0,7491,1170,1148.25,1716.81,2.823170913870881,0.2413793103448276,2100.0,0,3919160,0.0,229,186,43,5,4,1.0,1,5544,0.17436661698956782,6,12600.0,0.16666666666666666,False
rl-qlearn+parked,1,0.0,7491,1170,1148.25,1716.81,2.823170913870881,0.2413793103448276,2100.0,0,3919160,0.0,229,186,43,5,4,1.0,1,5544,0.17436661698956782,6,12600.0,0.16666666666666666,False
park-aware,1,0.0,7491,6377,107.0,252.6199999999999,9.569834456441065,0.8357866306549628,6390.0,0,14820983,0.0,2940,582,2358,122,66,3.0428571428571427,15,337,0.9503725782414307,6,12600.0,0.5071428571428571,False
static-4,4,0.0,1872,1638,46.0,369.38999999999965,3.1249999999999996,0.9694512813088172,8400.0,2363962,6109621,0.3869244917156072,332,332,0,0,0,4.0,4,109,0.977326968973747,4,8400.0,1.0,True
hpa-gpu,4,0.0,1872,1634,362.25,1183.5100000000002,9.434295020754512,0.6495410330182216,9630.0,8662585,12389508,0.6991871670771753,2221,1710,511,33,18,4.585714285714285,15,156,0.9749403341288783,4,8400.0,1.1464285714285714,False
