trace,T,tau,policy,slo,goodput,gpu_s,waste,kills_scalein
code,1,0.0,hpa-gpu,0.8974010069397197,0.9764530551415798,12615.0,0.0,653
code,1,0.0,keda-queue,0.9855072463768116,0.9922503725782414,128700.0,0.0,28
code,1,0.0,kv-util,0.6563643757625051,0.7305514157973174,6360.0,0.0,210
code,1,0.0,park-aware,0.8357866306549628,0.9503725782414307,6390.0,0.0,2358
code,8,8.0,hpa-gpu,0.34772541541814217,0.20763723150357996,6495.0,0.8424788401464071,391
code,8,8.0,keda-queue,0.3734229292375206,0.5310262529832935,6465.0,0.8835322714796793,3486
code,8,8.0,kv-util,0.21325251412040225,0.11097852028639618,5370.0,0.7918946692308383,150
code,8,8.0,park-aware,0.8642465753424657,0.9021479713603818,11490.0,0.8651435101602278,156
conv,1,0.0,hpa-gpu,0.9763427109974424,0.9789490220721074,61155.0,0.0,0
conv,1,0.0,keda-queue,0.956594567038089,0.9554630429659885,85185.0,0.0,975
conv,1,0.0,kv-util,0.022784424293225636,0.0,1695.0,0.0,95
conv,1,0.0,park-aware,0.9643442915210725,0.960961432723274,48450.0,0.0,1212
conv,8,8.0,hpa-gpu,0.6891150570232424,0.6876178504085481,61155.0,0.8411201033243537,0
conv,8,8.0,keda-queue,0.5064225392094245,0.30106851037083593,30390.0,0.9036891291836358,5246
conv,8,8.0,kv-util,0.11695906432748537,0.0,14505.0,0.647836503777955,209
conv,8,8.0,park-aware,0.8461974626125168,0.8038969201759899,57780.0,0.7957889651484988,316
