sweep,value,label,policy,slo,goodput,gpu_s
kv_capacity,31000.0,140B/2xA100,hpa-gpu,0.21375921375921375,0.017899761336515514,4080.0
kv_capacity,31000.0,140B/2xA100,keda-queue,0.43922803175472214,0.46897374701670647,6345.0
kv_capacity,31000.0,140B/2xA100,kv-util,0.23512671093644125,0.12410501193317422,5655.0
kv_capacity,31000.0,140B/2xA100,park-aware,0.7684182015167931,0.8198090692124105,12330.0
kv_capacity,62000.0,70B/2xA100,hpa-gpu,0.29788684389911385,0.0883054892601432,5445.0
kv_capacity,62000.0,70B/2xA100,keda-queue,0.9089165867689357,0.9570405727923628,31305.0
kv_capacity,62000.0,70B/2xA100,kv-util,0.26785714285714285,0.18615751789976134,6195.0
kv_capacity,62000.0,70B/2xA100,park-aware,0.7890699904122723,0.8293556085918854,10710.0
kv_capacity,150000.0,34B,hpa-gpu,0.8297698488356258,0.9284009546539379,13440.0
kv_capacity,150000.0,34B,keda-queue,0.5440934065934065,0.5751789976133651,7005.0
kv_capacity,150000.0,34B,kv-util,0.3003718496074921,0.26968973747016706,5655.0
kv_capacity,150000.0,34B,park-aware,0.7519230769230769,0.8281622911694511,7530.0
kv_capacity,500000.0,8B,hpa-gpu,0.8547241944292736,0.9331742243436754,7290.0
kv_capacity,500000.0,8B,keda-queue,0.4466501240694789,0.5990453460620525,6030.0
kv_capacity,500000.0,8B,kv-util,0.6405345825296225,0.863961813842482,5505.0
kv_capacity,500000.0,8B,park-aware,0.7684573002754821,0.8663484486873508,5160.0
max_batch,8.0,8,hpa-gpu,0.11917613636363636,0.0,2190.0
max_batch,8.0,8,keda-queue,0.8066621346023114,0.7243436754176611,14790.0
max_batch,8.0,8,kv-util,0.24690849134377577,0.0,5835.0
max_batch,8.0,8,park-aware,0.9177489177489178,0.9116945107398569,17415.0
max_batch,16.0,16,hpa-gpu,0.2915129151291513,0.0,4635.0
max_batch,16.0,16,keda-queue,0.5676450511945392,0.639618138424821,9540.0
max_batch,16.0,16,kv-util,0.34,0.022673031026252982,6465.0
max_batch,16.0,16,park-aware,0.8802893802893803,0.8794749403341289,12945.0
max_batch,32.0,32,hpa-gpu,0.29788684389911385,0.0883054892601432,5445.0
max_batch,32.0,32,keda-queue,0.9089165867689357,0.9570405727923628,31305.0
max_batch,32.0,32,kv-util,0.26785714285714285,0.18615751789976134,6195.0
max_batch,32.0,32,park-aware,0.7890699904122723,0.8293556085918854,10710.0
max_batch,64.0,64,hpa-gpu,0.4024556616643929,0.7004773269689738,8340.0
max_batch,64.0,64,keda-queue,0.7035307047671383,0.9558472553699284,21990.0
max_batch,64.0,64,kv-util,0.13721442334159098,0.5143198090692124,6210.0
max_batch,64.0,64,park-aware,0.5733718054410553,0.8090692124105012,9840.0
target,0.5,0.5,park-aware,0.8474181618956307,0.8615751789976134,11400.0
target,0.6,0.6,park-aware,0.8422133954252842,0.8556085918854416,11655.0
target,0.7,0.7,park-aware,0.7890699904122723,0.8293556085918854,10710.0
target,0.8,0.8,park-aware,0.8693329680865635,0.8782816229116945,10905.0
target,0.9,0.9,park-aware,0.7783865223941926,0.8210023866348448,10035.0
