policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,slo_per_gpu_ratio,queue_delta_s_vs_hpa,recompute_saved_vs_hpa,gpu_saved_pct_vs_hpa,slo_delta_vs_hpa,completed_delta_vs_hpa
hpa-gpu,8,8.0,936,838,60.0,134.26,2.379120549216092,0.0,0.0,8.5,0.0,6704,0.9968675417661098,15946.5,1705170,6294397,0.270902836284397,888,821,67,1460466,244704,17,7,7.246762099522836,9,0,1.0,1,3,6603.0,2.415038618809632,0.4127749900154656,0.0,0,0.0,0.0,0
keda-queue,8,8.0,936,838,75.0,224.39,19.371272456227885,0.5034307875894988,10.5,27.5,3375.0,6704,0.7425417661097852,9389.0,8420984,13010211,0.6472596024768545,2591,2441,150,7929520,491464,22,12,4.259015649807212,9,0,1.0,1,3,6603.0,1.4219294260184765,0.5222071873067324,3375.0,-6715814,0.4112187627379049,-0.25432577565632464,0
kv-util,8,8.0,936,838,69.0,190.575,6.0431466794198485,0.0079803102625298,0.0,21.5,53.5,6704,0.8547136038186157,6714.5,6544828,11134055,0.5878206996462655,2952,2896,56,6317434,226026,21,11,3.050658791458428,5,0,1.0,1,3,6603.0,1.016886263819476,0.8405203553524938,53.5,-4839658,0.5789358166368795,-0.1421539379474941,0
park-aware,8,8.0,936,838,76.5,190.445,11.856094905513364,0.1867541766109785,5.5,25.0,1252.0,6704,0.7201670644391408,5090.5,9457436,14046663,0.6732870290972311,3890,3797,93,9146035,311401,58,31,2.311762034514078,5,0,1.0,1,3,6603.0,0.7709374526730274,0.9341446078954222,1252.0,-7752266,0.6807763459066253,-0.276700477326969,0
predictive,8,8.0,936,838,96.0,208.815,14.255960972806893,0.2966139618138425,6.5,29.5,1988.5,6704,0.4719570405727923,3768.5,14700533,19289760,0.7620899897147502,5943,5853,90,14380152,320381,40,20,1.7090702947845804,4,0,1.0,1,3,6603.0,0.5707254278358322,0.8269423746589221,1988.5,-12995363,0.763678550152071,-0.5249105011933175,0
pressure-aware,8,8.0,936,838,64.0,148.83499999999998,30.397945285304733,0.5023866348448688,23.0,8.5,3368.0,6704,0.9753878281622912,15530.0,495483,5084710,0.0974456753679167,74,0,74,0,205419,19,11,7.05428117192823,14,0,1.0,1,3,6603.0,2.3519612297440555,0.4147125453545144,3368.0,1209687,0.026118584015301205,-0.021479713603818618,0
rl-qlearn,8,8.0,936,838,64.5,147.13,3.162252121864137,0.0060411694510739,0.0,13.0,40.5,6704,0.985829355608592,6378.0,3348571,7937798,0.4218513749027123,1881,1634,247,2531738,816833,107,51,2.896457765667575,6,0,1.0,1,3,6603.0,0.9659245797364834,1.020606966930626,40.5,-1643401,0.6000376258113065,-0.011038186157517837,0
rl-qlearn+parked,8,8.0,936,838,77.0,216.0,7.21377917698303,0.0316229116945107,1.5,26.5,212.0,6704,0.6725835322195705,6631.0,8315431,12904658,0.6443743801656735,3163,2973,190,7706643,606754,102,49,3.0079383080063504,7,0,1.0,1,3,6603.0,1.0042404967439045,0.6697434871430891,212.0,-6610261,0.584172075377042,-0.32428400954653935,0
hpa-gpu,8,8.0,1872,1624,59.5,130.65499999999997,1.5736912151988116,0.0,0.0,7.5,0.0,12992,0.9978448275862069,26758.5,4848951,14027405,0.3456769801684631,1955,1741,214,4100420,748531,35,17,11.803484781649756,15,0,1.0,2,5,11335.0,2.360696956329952,0.4226907756671582,0.0,0,0.0,0.0,0
keda-queue,8,8.0,1872,1624,75.5,191.77,20.06975093809653,0.4659790640394088,11.0,27.5,6054.0,12992,0.7534636699507389,18819.0,16769020,25947474,0.6462679180254695,7180,6983,197,16113974,643972,27,15,8.299448732083793,21,0,1.0,2,5,11335.0,1.6602558447287163,0.4538238322382499,6054.0,-11920069,0.296709456808117,-0.24438115763546797,0
kv-util,8,8.0,1872,1624,69.0,177.03999999999996,8.676875034366423,0.0601524014778325,2.5,24.0,781.5,12992,0.827509236453202,11684.5,13732489,22910943,0.5993855861803681,5436,5286,150,13184314,544773,36,20,5.15303197353914,8,0,1.0,2,5,11335.0,1.0308337009263344,0.8027572592063883,781.5,-8883538,0.5633350150419493,-0.1703355911330049,0
park-aware,8,8.0,1872,1624,76.5,185.04,7.643338018504952,0.0401400862068965,1.5,27.0,521.5,12992,0.7076662561576355,9381.5,18382237,27560691,0.6669730087681763,7700,7523,177,17709324,665824,64,33,4.138288486987208,9,0,1.0,2,5,11335.0,0.8276576973974415,0.855022865591515,521.5,-13533286,0.6494011248762075,-0.2901785714285714,0
predictive,8,8.0,1872,1624,97.0,214.5,19.06028338041611,0.4450431034482758,9.0,32.5,5782.0,12992,0.5000769704433498,6431.5,29053270,38231724,0.7599257098633585,12598,12400,198,28216898,829734,58,28,2.8226903664691685,7,0,1.0,2,5,11335.0,0.5674018526687252,0.8813453253479545,5782.0,-24204319,0.759646467477624,-0.4977678571428571,0
pressure-aware,8,8.0,1872,1624,63.0,148.76999999999998,21.537934662655665,0.4329972290640394,26.045000000000076,8.5,5625.5,12992,0.9800646551724138,23294.0,1493806,10672260,0.139970915251315,204,0,204,0,745889,28,18,10.272987872105844,28,0,1.0,2,5,11335.0,2.055050727834142,0.4769053346947416,5625.5,3355145,0.12947287777715488,-0.01778017241379304,0
