t,replicas,running,queued,parked,kv_used,kv_capacity,cache_resident,parked_cached,gpu_util,kv_util
310.0,8,5,0,17,16393,601728,63323,46930,0.625,0.027243206232716442
320.0,8,3,0,12,13757,601728,53861,40104,0.375,0.022862489363965115
330.0,8,0,0,6,0,601728,15990,15990,0.0,0.0
340.0,8,3,0,4,8173,601728,25041,16868,0.375,0.013582548925760477
350.0,8,2,0,9,2607,601728,44825,42218,0.25,0.004332522335673261
360.0,8,0,0,2,0,601728,1554,1554,0.0,0.0
370.0,8,0,0,0,0,601728,0,0,0.0,0.0
380.0,8,0,0,0,0,601728,0,0,0.0,0.0
390.0,8,0,0,4,0,601728,11387,11387,0.0,0.0
400.0,8,0,0,1,0,601728,6526,6526,0.0,0.0
410.0,8,0,0,0,0,601728,0,0,0.0,0.0
420.0,8,0,0,0,0,601728,0,0,0.0,0.0
430.0,8,0,0,10,0,601728,16997,16997,0.0,0.0
440.0,8,0,0,5,0,601728,7824,7824,0.0,0.0
450.0,8,1,0,1,2087,601728,6340,4253,0.125,0.003468344501169964
460.0,8,0,0,1,0,601728,2087,2087,0.0,0.0
470.0,8,0,0,0,0,601728,0,0,0.0,0.0
480.0,8,0,0,0,0,601728,0,0,0.0,0.0
490.0,8,0,0,0,0,601728,0,0,0.0,0.0
500.0,8,0,0,0,0,601728,0,0,0.0,0.0
510.0,8,0,0,0,0,601728,0,0,0.0,0.0
520.0,8,0,0,5,0,601728,20364,20364,0.0,0.0
530.0,8,0,0,9,0,601728,29663,29663,0.0,0.0
540.0,8,1,0,1,3388,601728,3853,465,0.125,0.005630450967879175
550.0,8,0,0,1,0,601728,465,465,0.0,0.0
560.0,8,4,0,4,11400,601728,16078,4678,0.5,0.018945437141033823
570.0,8,7,0,17,8149,601728,49974,41825,0.875,0.013542663794937248
580.0,8,11,0,59,28647,601728,172537,143890,0.875,0.04760788927887683
590.0,8,10,0,51,38237,601728,188186,149949,0.75,0.0635453228036588
600.0,8,3,0,15,25258,601728,56795,31537,0.375,0.041975776430546695
610.0,8,5,0,19,15194,601728,59858,44664,0.5,0.025250611572005956
620.0,8,7,0,41,20927,601728,117648,96721,0.875,0.03477817219740481
630.0,8,14,0,29,39073,601728,117255,78182,0.875,0.06493465486066795
640.0,8,10,0,14,36369,601728,65696,29327,0.875,0.0604409301212508
650.0,8,6,0,17,27446,601728,58710,31264,0.5,0.045611970857264414
660.0,8,2,0,12,5000,601728,29188,24188,0.25,0.008309402254839397
670.0,8,4,0,6,5410,601728,18500,13090,0.375,0.008990773239736226
680.0,8,2,0,13,2340,601728,18450,16110,0.25,0.0038888002552648375
690.0,8,1,0,5,217,601728,6989,6772,0.125,0.0003606280578600298
700.0,8,0,0,1,0,601728,1036,1036,0.0,0.0
710.0,8,0,0,1,0,601728,1036,1036,0.0,0.0
720.0,8,0,0,0,0,601728,0,0,0.0,0.0
730.0,8,0,0,0,0,601728,0,0,0.0,0.0
740.0,8,0,0,0,0,601728,0,0,0.0,0.0
750.0,8,0,0,0,0,601728,0,0,0.0,0.0
760.0,8,0,0,0,0,601728,0,0,0.0,0.0
770.0,8,0,0,0,0,601728,0,0,0.0,0.0
780.0,8,0,0,0,0,601728,0,0,0.0,0.0
790.0,8,0,0,0,0,601728,0,0,0.0,0.0
800.0,8,0,0,0,0,601728,0,0,0.0,0.0
810.0,8,0,0,0,0,601728,0,0,0.0,0.0
820.0,8,0,0,0,0,601728,0,0,0.0,0.0
830.0,8,0,0,0,0,601728,0,0,0.0,0.0
840.0,8,0,0,0,0,601728,0,0,0.0,0.0
850.0,8,2,0,1,3062,601728,4315,1253,0.25,0.005088677940863646
860.0,8,9,0,34,23408,601728,105159,81751,0.875,0.038901297596256115
870.0,8,31,0,67,85263,601728,311479,226216,1.0,0.14169691289087427
880.0,8,9,0,41,30310,601728,182350,152040,0.75,0.05037159646883642
890.0,8,2,0,15,11500,601728,73137,61637,0.25,0.01911162518613061
900.0,8,8,0,8,21232,601728,34751,13519,0.875,0.03528504573495001
910.0,8,5,0,13,13493,601728,46568,33075,0.5,0.022423752924909595
920.0,8,7,0,25,25310,601728,91970,66660,0.5,0.04206219421399702
930.0,8,1,0,39,5129,601728,117360,112231,0.125,0.008523784833014253
940.0,8,2,0,21,3674,601728,77034,73360,0.25,0.006105748776855988
950.0,8,2,0,6,6047,601728,36366,30319,0.25,0.010049391087002766
960.0,8,1,0,2,4106,601728,18770,14664,0.125,0.0068236811316741116
970.0,8,0,0,1,0,601728,2648,2648,0.0,0.0
980.0,8,0,0,0,0,601728,0,0,0.0,0.0
990.0,8,0,0,0,0,601728,0,0,0.0,0.0
1000.0,8,0,0,0,0,601728,0,0,0.0,0.0
1010.0,8,0,0,0,0,601728,0,0,0.0,0.0
