policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,static_ref_n,static_ref_gpu_s,gpu_vs_static,meets_slo
static-8,1,0.0,7491,6710,1.0,11.0,5.149464452230872,0.0,0.0,11.0,0.0,6710,0.9503725782414307,16760.0,0,15282456,0.0,0,0,0,0,0,0,0,8.0,8,0,1.0,8,16760.0,1.0,True
hpa-gpu,1,0.0,7491,6710,1.0,8.0,2.756551728795289,0.0,0.0,8.0,0.0,6710,0.996274217585693,44451.0,0,15282456,0.0,0,0,0,0,0,20,6,21.21766109785203,33,0,1.0,8,16760.0,2.6522076372315038,True
keda-queue,1,0.0,7491,6710,2.0,32.0,39.50476511272294,1.0263785394932936,23.0,19.0,6887.0,6710,0.7123695976154992,32880.5,0,15282456,0.0,0,0,0,0,0,13,7,15.691004533524218,57,0,1.0,8,16760.0,1.9618436754176611,False
kv-util,1,0.0,7491,6710,1.5,17.5,9.561169907933511,0.09977645305514157,3.0,17.0,669.5,6710,0.7497764530551416,10742.0,0,15282456,0.0,0,0,0,0,0,13,5,5.126222858506323,9,0,1.0,8,16760.0,0.6409307875894988,False
predictive,1,0.0,7491,6710,9.5,52.5,108.57901258004097,8.74053651266766,44.5,24.954999999999927,58649.0,6710,0.21475409836065573,4377.5,0,15282456,0.0,0,0,0,0,0,68,31,2.069739952718676,20,0,1.0,8,16760.0,0.2611873508353222,False
rl-qlearn,1,0.0,7491,6710,2.5,43.5,67.69571152053742,2.887704918032787,33.0,22.5,19376.5,6710,0.5959761549925484,7258.0,0,15282456,0.0,0,0,0,0,0,95,43,3.464439140811456,8,0,1.0,8,16760.0,0.433054892601432,False
rl-qlearn+parked,1,0.0,7491,6710,2.5,43.5,67.69571152053742,2.887704918032787,33.0,22.5,19376.5,6710,0.5959761549925484,7258.0,0,15282456,0.0,0,0,0,0,0,95,43,3.464439140811456,8,0,1.0,8,16760.0,0.433054892601432,False
park-aware,1,0.0,7491,6710,4.0,49.5,100.69412450742674,6.379210134128167,44.5,21.0,42804.5,6710,0.4368107302533532,7434.0,0,15282456,0.0,0,0,0,0,0,38,16,3.5433746425166825,20,0,1.0,8,16760.0,0.4435560859188544,False
pressure-aware,1,0.0,7491,6710,1.0,27.0,39.851913054042036,1.1283159463487333,24.5,10.0,7571.0,6710,0.9035767511177347,30735.5,0,15282456,0.0,0,0,0,0,0,19,8,14.6708830548926,48,0,1.0,8,16760.0,1.833860381861575,False
static-5,4,0.0,1872,1676,4.5,24.625,3.4351763028917155,0.0,0.0,10.0,0.0,6704,0.975835322195704,10477.5,0,6046843,0.0,0,0,0,0,0,0,0,5.0,5,0,1.0,5,10477.5,1.0,True
