T,tau,policy,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_ins,recomputed_tokens,useful_prefill,waste_ratio,slo,gpu_s
1,0.0,hpa-gpu,0,0,0,0,6,0,15282456,0.0,0.996274217585693,44451.0
1,0.0,keda-queue,0,0,0,0,7,0,15282456,0.0,0.7162444113263785,32880.5
1,0.0,kv-util,0,0,0,0,5,0,15282456,0.0,0.7506706408345752,10742.0
1,0.0,park-aware,0,0,0,0,16,0,15282456,0.0,0.4640834575260805,7434.0
1,0.0,pressure-aware,0,0,0,0,8,0,15282456,0.0,1.0,30735.5
2,8.0,hpa-gpu,324,24,730500,82703,6,813203,8508818,0.09557179387313255,0.9997018485390579,30315.5
2,8.0,keda-queue,1743,44,3274109,131334,8,3407006,11102621,0.3068650186293849,0.6468395945140131,16690.0
2,8.0,kv-util,1273,19,2639858,67950,7,2707872,10403487,0.26028503712264933,0.7898032200357782,8092.5
2,8.0,park-aware,1803,57,3448060,166994,27,3618861,11314476,0.31984344657233793,0.624180083482409,6804.0
2,8.0,pressure-aware,0,39,0,77241,9,339486,8035101,0.04225037121499779,1.0,19581.5
4,8.0,hpa-gpu,560,44,1244224,89913,7,1334137,5079796,0.26263594049839795,1.0,18835.0
4,8.0,keda-queue,1868,173,4330487,475043,14,4805530,8551189,0.5619721421196514,0.8268198090692124,17191.0
4,8.0,kv-util,2332,46,5009106,148575,11,5157681,8903340,0.5792973198822015,0.7774463007159904,7342.5
4,8.0,park-aware,2878,59,5939524,205636,27,6145160,9890819,0.6212994090782573,0.692571599045346,5687.0
4,8.0,pressure-aware,0,72,0,237245,9,547310,4292969,0.12748985608794286,1.0,19955.5
8,8.0,hpa-gpu,1051,58,2361132,218105,9,2580669,4474451,0.5767565674537501,0.997016706443914,14338.0
8,8.0,keda-queue,3237,129,9285223,531905,11,9817128,11710910,0.8382890825734294,0.7772971360381862,8803.5
8,8.0,kv-util,3286,42,6275932,163280,7,6439212,8332994,0.7727369058468061,0.9331742243436754,5738.0
8,8.0,park-aware,4468,88,10480989,278183,25,10760604,12654386,0.8503458010526943,0.7268794749403341,5231.0
8,8.0,pressure-aware,0,64,0,320119,12,653648,2547430,0.25659115265188837,1.0,11841.5
16,8.0,hpa-gpu,1620,27,6493301,133377,6,6626678,7575240,0.8747812610557554,0.9597255369928401,11695.5
16,8.0,keda-queue,6306,51,27608881,336566,7,27945447,28894009,0.9671709799771987,0.7051014319809069,5307.0
16,8.0,kv-util,3105,62,13453062,282533,13,13735595,14684157,0.9354023523447754,0.9454057279236276,8365.5
16,8.0,park-aware,5295,90,19421129,419592,21,19840721,20789283,0.9543725485866925,0.932428400954654,7157.0
16,8.0,pressure-aware,0,77,0,375131,12,903460,1852022,0.48782357876958266,1.0,12021.5
