cold_start_s,policy,slo,gpu_s,p99_prog,goodput,waste
0.0,hpa-gpu,1.0,17638.0,131.13,1.0,0.06361616303458888
0.0,keda-queue,0.6922732696897375,5654.0,211.89,1.0,0.8588298630231136
0.0,predictive,0.6217183770883055,4112.0,192.445,1.0,0.8920019430482476
0.0,park-aware,0.8866348448687351,5562.0,169.96499999999997,1.0,0.7715385860736377
30.0,hpa-gpu,1.0,15966.0,131.13,1.0,0.4871808897379691
30.0,keda-queue,0.7787887828162291,9176.0,217.53999999999996,1.0,0.840980298852063
30.0,predictive,0.5301312649164678,3809.0,201.815,1.0,0.8991170393036038
30.0,park-aware,0.7758054892601431,5577.5,181.76,1.0,0.8295328003954863
38.155,hpa-gpu,0.9998508353221957,16208.0,131.13,1.0,0.5357669723178387
38.155,keda-queue,0.7823687350835322,9088.5,218.26,1.0,0.8402505200680338
38.155,predictive,0.52118138424821,3741.5,216.0,1.0,0.8998569915904032
38.155,park-aware,0.7107696897374701,5115.0,191.815,1.0,0.8550282880483168
90.0,hpa-gpu,0.9931384248210023,13813.0,133.815,1.0,0.6062206827804851
90.0,keda-queue,0.7137529832935561,10552.0,245.76,1.0,0.8461026870037124
90.0,predictive,0.3378579952267303,3379.0,258.02,1.0,0.9117771044922036
90.0,park-aware,0.5759248210023866,4639.5,230.20499999999998,1.0,0.8822973186306134
180.0,hpa-gpu,0.6051610978520287,3814.0,232.075,1.0,0.8939819726213596
180.0,keda-queue,0.674373508353222,7082.5,277.075,1.0,0.8556118925451935
180.0,predictive,0.39916467780429593,3282.0,326.63,1.0,0.9086580702119261
180.0,park-aware,0.6439439140811456,3934.5,293.40999999999997,1.0,0.8863761637509158
300.0,hpa-gpu,0.41631861575178997,3443.0,394.90999999999997,1.0,0.9004058691361282
300.0,keda-queue,0.6248508353221957,7077.0,342.13,1.0,0.8652511139586672
300.0,predictive,0.2758054892601432,3088.5,353.87499999999994,1.0,0.9148712463686317
300.0,park-aware,0.33890214797136037,3545.0,294.63,1.0,0.9093768872019118
