trace,T,tau,policy,slo,goodput,gpu_s,waste,kills_scalein
code,1,0.0,hpa-gpu,0.9956780923994039,1.0,43403.5,0.0,0
code,1,0.0,keda-queue,0.7143070044709389,1.0,32882.0,0.0,0
code,1,0.0,kv-util,0.7502235469448584,1.0,10742.0,0.0,0
code,1,0.0,park-aware,0.4639344262295082,1.0,7404.0,0.0,0
code,8,8.0,hpa-gpu,0.9998508353221957,1.0,16208.0,0.5357669723178387,96
code,8,8.0,keda-queue,0.7823687350835322,1.0,9088.5,0.8402505200680338,130
code,8,8.0,kv-util,0.8808174224343676,1.0,5813.0,0.784146308659351,50
code,8,8.0,park-aware,0.7107696897374701,1.0,5115.0,0.8550282880483168,83
conv,1,0.0,hpa-gpu,0.996936611420941,1.0,126599.5,0.0,0
conv,1,0.0,keda-queue,1.0,1.0,35541.0,0.0,0
conv,1,0.0,kv-util,0.0,0.03919566412693425,2700.0,0.0,0
conv,1,0.0,park-aware,1.0,1.0,29310.0,0.0,0
conv,8,8.0,hpa-gpu,1.0,1.0,107075.5,0.17627076628566715,60
conv,8,8.0,keda-queue,0.28040540540540543,1.0,19331.0,0.9212384233253894,32
conv,8,8.0,kv-util,0.9211973601508485,1.0,30264.5,0.6881726207418479,162
conv,8,8.0,park-aware,0.9736015084852294,1.0,24829.0,0.4592248194139878,37
