T,sweep,value,label,policy,slo,goodput,gpu_s
8,kv_capacity,31000.0,31k,hpa-gpu,1.0,1.0,17374.5
8,kv_capacity,31000.0,31k,keda-queue,0.7318019093078759,1.0,9607.0
8,kv_capacity,31000.0,31k,kv-util,0.97881861575179,1.0,12219.0
8,kv_capacity,31000.0,31k,park-aware,0.8511336515513126,1.0,8138.0
8,kv_capacity,31000.0,31k,pressure-aware,0.9519689737470167,1.0,21441.5
8,kv_capacity,62000.0,62k,hpa-gpu,0.9956742243436754,1.0,16083.5
8,kv_capacity,62000.0,62k,keda-queue,0.7866945107398569,1.0,8968.5
8,kv_capacity,62000.0,62k,kv-util,0.8893198090692124,1.0,7450.0
8,kv_capacity,62000.0,62k,park-aware,0.7461217183770883,1.0,5740.0
8,kv_capacity,62000.0,62k,pressure-aware,0.9968675417661098,1.0,12192.0
8,kv_capacity,75216.0,measured 14B,hpa-gpu,0.9968675417661098,1.0,15946.5
8,kv_capacity,75216.0,measured 14B,keda-queue,0.7425417661097852,1.0,9389.0
8,kv_capacity,75216.0,measured 14B,kv-util,0.8547136038186157,1.0,6714.5
8,kv_capacity,75216.0,measured 14B,park-aware,0.7201670644391408,1.0,5090.5
8,kv_capacity,75216.0,measured 14B,pressure-aware,0.9753878281622912,1.0,15530.0
8,kv_capacity,150000.0,150k,hpa-gpu,1.0,1.0,15976.5
8,kv_capacity,150000.0,150k,keda-queue,0.8026551312649165,1.0,7257.0
8,kv_capacity,150000.0,150k,kv-util,0.8303997613365155,1.0,3664.5
8,kv_capacity,150000.0,150k,park-aware,0.7922136038186157,1.0,4816.0
8,kv_capacity,150000.0,150k,pressure-aware,0.9613663484486874,1.0,9902.0
8,kv_capacity,500000.0,500k,hpa-gpu,1.0,1.0,15970.0
8,kv_capacity,500000.0,500k,keda-queue,0.7155429594272077,1.0,5777.5
8,kv_capacity,500000.0,500k,kv-util,0.5041766109785203,1.0,2204.5
8,kv_capacity,500000.0,500k,park-aware,0.8253281622911695,1.0,4400.5
8,kv_capacity,500000.0,500k,pressure-aware,0.9671837708830548,1.0,8335.5
8,max_batch,8.0,8,hpa-gpu,0.9997016706443914,1.0,16679.5
8,max_batch,8.0,8,keda-queue,0.8984188544152745,1.0,10044.5
8,max_batch,8.0,8,kv-util,0.3845465393794749,1.0,4699.0
8,max_batch,8.0,8,park-aware,0.9501789976133651,1.0,13022.5
8,max_batch,8.0,8,pressure-aware,0.9753878281622912,1.0,15530.0
8,max_batch,16.0,16,hpa-gpu,0.9989558472553699,1.0,15961.5
8,max_batch,16.0,16,keda-queue,0.8517303102625299,1.0,9199.5
8,max_batch,16.0,16,kv-util,0.9255668257756563,1.0,6038.0
8,max_batch,16.0,16,park-aware,0.9242243436754176,1.0,7569.0
