policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,slo_per_gpu_ratio
static-3,8,8.0,936,838,62.5,138.83499999999998,2.811250050828475,0.9946300715990454,6604.5,2998612,4892394,0.6129130237670964,2053,2053,0,2998612,0,0,0,3.0,3,0,1.0,1,3,6604.5,1.0,0.9946300715990454
hpa-gpu,8,8.0,936,838,59.0,130.815,2.43523020181465,0.997016706443914,14338.0,2580669,4474451,0.5767565674537501,1109,1051,58,2361132,218105,17,9,6.514311676510677,9,0,1.0,1,3,6604.5,2.1709440532969944,0.45925490568481175
keda-queue,8,8.0,936,838,74.25,229.26,6.477675476912457,0.7772971360381862,8803.5,9817128,11710910,0.8382890825734294,3366,3237,129,9285223,531905,20,11,3.9979564032697548,9,0,1.0,1,3,6604.5,1.3329548035430387,0.5831384034718238
kv-util,8,8.0,936,838,65.5,154.51999999999998,4.680101059058692,0.9331742243436754,5738.0,6439212,8332994,0.7727369058468061,3328,3286,42,6275932,163280,12,7,2.605812897366031,4,0,1.0,1,3,6604.5,0.8688015746839276,1.0740936153150582
park-aware,8,8.0,936,838,77.0,181.815,6.403377593647125,0.7268794749403341,5231.0,10760604,12654386,0.8503458010526943,4556,4468,88,10480989,278183,48,25,2.3761071996366114,5,0,1.0,1,3,6604.5,0.7920357332122038,0.9177357087064494
pressure-aware,8,8.0,936,838,60.0,131.315,1.6128776831875338,1.0,11841.5,653648,2547430,0.25659115265188837,64,0,64,0,320119,20,12,5.377611262488647,12,0,1.0,1,3,6604.5,1.7929442047089106,0.5577418401384959
static-5,8,8.0,1872,1624,61.5,132.5,2.419316524781301,0.9986145320197044,11335.0,5038279,8825843,0.5708552712755031,3759,3759,0,5038279,0,0,0,5.0,5,0,1.0,2,5,11335.0,1.0,0.9986145320197044
hpa-gpu,8,8.0,1872,1624,58.5,130.19499999999994,1.4267764120505109,0.999692118226601,26043.0,4884858,8672422,0.5632634113054,1797,1685,112,4421373,463485,24,10,11.485336273428887,16,0,1.0,2,5,11335.0,2.2975738861932067,0.4351077126328965
keda-queue,8,8.0,1872,1624,78.0,196.385,6.478834736830296,0.7346059113300493,18071.0,23123865,26911429,0.8592581612815878,8561,8380,181,22415072,708793,25,13,7.9695700110253584,22,0,1.0,2,5,11335.0,1.5942655491839435,0.460780145256273
kv-util,8,8.0,1872,1624,68.5,180.0,6.392012413204448,0.8339747536945813,11749.0,14868330,18655894,0.7969776200486559,5307,5150,157,14247182,616248,39,20,5.181477398015436,9,0,1.0,2,5,11335.0,1.0365240405822673,0.8045879507301114
park-aware,8,8.0,1872,1624,75.5,188.385,6.108626392024793,0.7239839901477833,9386.5,21605835,25393399,0.8508445442849144,8582,8391,191,20851686,751699,66,34,4.1395810363836825,9,0,1.0,2,5,11335.0,0.8280988089986767,0.8742724687929604
pressure-aware,8,8.0,1872,1624,61.5,150.69499999999994,1.854809335665664,1.0,26336.5,1428993,5216557,0.2739341293500675,179,0,179,0,677833,27,18,11.612213403880071,27,0,1.0,2,5,11335.0,2.323467137185708,0.43039128206101795
static-8,8,8.0,3744,3247,64.0,138.03999999999996,2.811632417356323,0.9949953803510934,18144.0,19339081,26914209,0.7185453973401188,12778,12778,0,19339081,0,0,0,8.0,8,0,1.0,4,8,18144.0,1.0,0.9949953803510934
hpa-gpu,8,8.0,3744,3247,58.5,130.5,1.32486381118976,1.0,44951.0,10176637,17751765,0.5732746574777212,3661,3593,68,9895321,281316,22,7,19.828407587119543,22,0,1.0,4,8,18144.0,2.4774581128747797,0.4036395185869057
keda-queue,8,8.0,3744,3247,81.0,193.26999999999998,6.438156333787276,0.6646519864490299,14160.5,49703613,57278741,0.867749746803967,21016,20811,205,48900707,802906,24,14,6.202584318878668,11,0,1.0,4,8,18144.0,0.7804508377425045,0.851625694158483
kv-util,8,8.0,3744,3247,70.0,198.80999999999995,6.330764643024072,0.7781413612565445,23390.0,37062620,44637748,0.8302977112555051,12328,11945,383,35422357,1635584,58,31,10.31305114638448,15,0,1.0,4,8,18144.0,1.28913139329806,0.6036167960084969
