sid,turn,phase,t0,t1
0,0,compute,0.001390000805258751,3.8498989399522543
1,0,compute,0.0031130965799093246,3.881023956462741
2,0,compute,0.004738347604870796,3.9135973788797855
4,0,compute,0.008281398564577103,3.9465202800929546
3,0,compute,0.0067129433155059814,3.978183837607503
5,0,compute,0.009522287175059319,4.009764991700649
6,0,compute,0.011129092425107956,4.040528651326895
7,0,compute,0.012619858607649803,4.070018235594034
0,0,park,3.8498989399522543,11.850030722096562
1,0,park,3.881023956462741,11.881128774955869
2,0,park,3.9135973788797855,11.913676418364048
4,0,park,3.9465202800929546,11.94660035148263
3,0,park,3.978183837607503,11.978266587480903
5,0,park,4.009764991700649,12.009843658655882
6,0,park,4.040528651326895,12.040614917874336
7,0,park,4.070018235594034,12.070100575685501
0,1,compute,11.850074030458927,14.140825858339667
1,1,compute,11.881170762702823,14.176024647429585
2,1,compute,11.913712851703167,14.212755404412746
4,1,compute,11.946641575545073,14.212987778708339
6,1,compute,12.040654907003045,14.245052287355065
3,1,compute,11.978299794718623,14.245163895189762
5,1,compute,12.009863587096334,14.245273862034082
7,1,compute,12.070134153589606,14.270076429471374
0,1,park,14.140825858339667,22.1409115716815
1,1,park,14.176024647429585,22.176109313964844
2,1,park,14.212755404412746,22.212853647768497
4,1,park,14.212987778708339,22.213162595406175
6,1,park,14.245052287355065,22.245118802413344
5,1,park,14.245273862034082,22.245678899809718
3,1,park,14.245163895189762,22.24749244004488
7,1,park,14.270076429471374,22.270153226330876
0,2,compute,22.140955476090312,24.513818122446537
1,2,compute,22.176150396466255,24.54917044006288
4,2,compute,22.213201941922307,24.58593582175672
2,2,compute,22.212894903495908,24.586047291755676
6,2,compute,22.245136795565486,24.620889784768224
3,2,compute,22.24752874672413,24.62099981494248
5,2,compute,22.245711121708155,24.62110791541636
7,2,compute,22.270196307450533,24.648767195641994
0,2,park,24.513818122446537,32.51390155404806
1,2,park,24.54917044006288,32.54925850406289
4,2,park,24.58593582175672,32.58601227030158
2,2,park,24.586047291755676,32.587214002385736
6,2,park,24.620889784768224,32.6209686268121
3,2,park,24.62099981494248,32.62127618864179
5,2,park,24.62110791541636,32.62157780304551
7,2,park,24.648767195641994,32.64885076507926
0,3,compute,32.51392871886492,34.954785181209445
1,3,compute,32.54930030182004,34.991479551419616
2,3,compute,32.58723568730056,35.02867419086397
4,3,compute,32.58603418804705,35.028772139921784
5,3,compute,32.621599638834596,35.064668606966734
3,3,compute,32.621311619877815,35.06477821059525
6,3,compute,32.621008556336164,35.06488848105073
7,3,compute,32.64887509122491,35.0908206384629
0,3,park,34.954785181209445,42.95491190627217
1,3,park,34.991479551419616,42.99158742651343
2,3,park,35.02867419086397,43.02876542508602
4,3,park,35.028772139921784,43.03002605587244
5,3,park,35.064668606966734,43.06476737558842
6,3,park,35.06488848105073,43.06662795506418
3,3,park,35.06477821059525,43.06694931536913
7,3,park,35.0908206384629,43.09092417731881
0,4,compute,42.954966293647885,45.476258140057325
1,4,compute,42.991643987596035,45.51400959864259
4,4,compute,43.03007550351322,45.55264756269753
2,4,compute,43.028801426291466,45.55272078886628
5,4,compute,43.06482073105872,45.58898320607841
3,4,compute,43.066985450685024,45.58908524736762
6,4,compute,43.06667708605528,45.589194824919105
7,4,compute,43.09097614325583,45.615319622680545
0,4,park,45.476258140057325,53.47634403407574
1,4,park,45.51400959864259,53.514097495004535
4,4,park,45.55264756269753,53.55273978225887
2,4,park,45.55272078886628,53.55303009040654
5,4,park,45.58898320607841,53.58905438706279
6,4,park,45.589194824919105,53.590053183957934
3,4,park,45.58908524736762,53.59033831208944
7,4,park,45.615319622680545,53.61540957912803
0,5,compute,53.47638186626136,56.0773254185915
1,5,compute,53.51413361355662,56.11585909500718
2,5,compute,53.55305530503392,56.15563006699085
4,5,compute,53.55276274308562,56.15576594695449
5,5,compute,53.58907593972981,56.19224317930639
3,5,compute,53.590372608974576,56.192343067377806
6,5,compute,53.59007562696934,56.19247089512646
7,5,compute,53.61544612236321,56.21955335140228
