sid,turn,phase,t0,t1
0,0,compute,0.001232961192727089,3.8339962754398584
1,0,compute,0.0033372417092323303,3.867092952132225
2,0,compute,0.005015913397073746,3.8997248206287622
3,0,compute,0.006726473569869995,3.9326652251183987
4,0,compute,0.0077059101313352585,3.964248239994049
5,0,compute,0.009535908699035645,3.995768530294299
6,0,compute,0.011165104806423187,4.031951768323779
7,0,compute,0.012570908293128014,4.056423004716635
0,0,park,3.8339962754398584,11.834088353440166
1,0,park,3.867092952132225,11.86718081496656
2,0,park,3.8997248206287622,11.899809597060084
3,0,park,3.9326652251183987,11.932744896039367
4,0,park,3.964248239994049,11.964334735646844
5,0,park,3.995768530294299,11.995850056409836
6,0,park,4.031951768323779,12.032034592702985
7,0,park,4.056423004716635,12.056508593261242
0,1,compute,11.834132736548781,14.118226364254951
1,1,compute,11.86721520125866,14.152123741805553
2,1,compute,11.89984292536974,14.18791700527072
3,1,compute,11.932778988033533,14.188015652820468
6,1,compute,12.03206760622561,14.23793408460915
5,1,compute,11.99588337354362,14.238939244300127
4,1,compute,11.964373640716076,14.239081813022494
7,1,compute,12.056550368666649,14.248304285109043
0,1,park,14.118226364254951,22.118306012824178
1,1,park,14.152123741805553,22.1522047072649
2,1,park,14.18791700527072,22.18798971734941
3,1,park,14.188015652820468,22.18902162462473
6,1,park,14.23793408460915,22.23801152408123
4,1,park,14.239081813022494,22.23916277848184
5,1,park,14.238939244300127,22.23946124687791
7,1,park,14.248304285109043,22.248381849378347
0,2,compute,22.11834424547851,24.49227268062532
1,2,compute,22.152238892391324,24.527150789275765
2,2,compute,22.188016200438142,24.56442861445248
3,2,compute,22.18906314484775,24.5645383708179
6,2,compute,22.238049866631627,24.599000615999103
4,2,compute,22.239199420437217,24.59910388663411
5,2,compute,22.239497490227222,24.599209001287818
7,2,compute,22.24841989763081,24.62526936456561
0,2,park,24.49227268062532,32.49237531423569
1,2,park,24.527150789275765,32.52722987346351
2,2,park,24.56442861445248,32.56451174430549
3,2,park,24.5645383708179,32.564806532114744
6,2,park,24.599000615999103,32.599075969308615
4,2,park,24.59910388663411,32.60010281763971
5,2,park,24.599209001287818,32.6004097238183
7,2,park,24.62526936456561,32.625349543988705
0,3,compute,32.49240388162434,34.929262176156044
1,3,compute,32.52726684510708,34.96604544296861
2,3,compute,32.56456033140421,35.01013270765543
3,3,compute,32.56484850682318,35.010347340255976
5,3,compute,32.60045033507049,35.037560392171144
4,3,compute,32.600140389055014,35.039844054728746
6,3,compute,32.59910269267857,35.03998815827072
7,3,compute,32.62538026459515,35.0654397662729
0,3,park,34.929262176156044,42.92941549420357
1,3,park,34.96604544296861,42.966148721054196
2,3,park,35.01013270765543,43.01023279316723
3,3,park,35.010347340255976,43.01055721566081
5,3,park,35.037560392171144,43.0376503970474
4,3,park,35.039844054728746,43.03995865769684
6,3,park,35.03998815827072,43.04029784351587
7,3,park,35.0654397662729,43.06554137729108
0,4,compute,42.929479878395796,45.44950420409441
1,4,compute,42.966203697025776,45.48727139644325
2,4,compute,43.010282097384334,45.52601353637874
3,4,compute,43.01061029173434,45.52612412534654
4,4,compute,43.04001404903829,45.56210048869252
5,4,compute,43.037696020677686,45.56222551316023
6,4,compute,43.04036298766732,45.56234432011843
7,4,compute,43.065590381622314,45.588350957259536
0,4,park,45.44950420409441,53.449589282274246
1,4,park,45.48727139644325,53.487350365146995
2,4,park,45.52601353637874,53.52609567716718
3,4,park,45.52612412534654,53.52637181803584
4,4,park,45.56210048869252,53.56218250654638
5,4,park,45.56222551316023,53.56248308159411
6,4,park,45.56234432011843,53.56349298544228
7,4,park,45.588350957259536,53.588429449126124
0,5,compute,53.449617292732,56.04074460826814
1,5,compute,53.487374536693096,56.080002032220364
2,5,compute,53.526131177321076,56.1192518863827
3,5,compute,53.526408948004246,56.119387252256274
4,5,compute,53.56221760623157,56.156519293785095
6,5,compute,53.56352835148573,56.156651105731726
5,5,compute,53.56251134350896,56.15677423775196
7,5,compute,53.588458728045225,56.182925624772906
