k,rep,wall_s,per_req_s,agg_tok_s
1,0,2.2914111632853746,2.2914111632853746,27.930386752693575
1,1,2.2933431025594473,2.2933431025594473,27.906857865521243
1,2,2.295510523021221,2.295510523021221,27.880508217303582
2,0,2.713640348985791,2.713640348985791,47.169109955134374
2,1,2.7186082303524017,2.7186082303524017,47.08291491613998
2,2,2.7166507840156555,2.7166507840156555,47.11683987987407
4,0,3.5262844562530518,3.5262844562530518,72.59765999479795
4,1,3.5266958195716143,3.5266958195716143,72.58919200780298
4,2,3.5192092563956976,3.5192092563956976,72.74361407601832
8,0,5.124847220256925,5.124847220256925,99.90541727297226
8,1,5.136269213631749,5.136269213631749,99.6832484249741
8,2,5.146146023645997,5.146146023645997,99.49193000886763
16,0,8.425822319462895,8.425822319462895,121.5311646953024
16,1,8.428564401343465,8.428564401343465,121.49162671602537
16,2,8.45073377713561,8.45073377713561,121.1729095963885
32,0,15.281674543395638,15.281674543395638,134.01672664761043
32,1,15.302505215629935,15.302505215629935,133.83429517855538
32,2,15.30985352396965,15.30985352396965,133.7700584002047
