k,rep,wall_s,per_req_s,agg_tok_s
1,0,2.290555525571108,2.290555525571108,27.940820157172475
1,1,2.2958837915211916,2.2958837915211916,27.87597535918632
1,2,2.2986264266073704,2.2986264266073704,27.842714787917938
2,0,2.7129995599389076,2.7129995599389076,47.18025092598332
2,1,2.717775760218501,2.717775760218501,47.09733668009063
2,2,2.714081309735775,2.714081309735775,47.16144632102464
4,0,3.5162278935313225,3.5162278935313225,72.80529241888843
4,1,3.519319536164403,3.519319536164403,72.74133461578384
4,2,3.5190342143177986,3.5190342143177986,72.74723245327363
8,0,5.115130977705121,5.115130977705121,100.09518861425252
8,1,5.117568161338568,5.117568161338568,100.04751941908276
8,2,5.108798051252961,5.108798051252961,100.2192677932198
16,0,8.373307708650827,8.373307708650827,122.2933678816152
16,1,8.389773143455386,8.389773143455386,122.05335978587122
16,2,8.400702431797981,8.400702431797981,121.89456873558558
32,0,15.20398497581482,15.20398497581482,134.70152747834075
32,1,15.222165767103434,15.222165767103434,134.5406449603857
32,2,15.229596439749002,15.229596439749002,134.4750012321241
